month,aws_service,cost_usd,environment,cost_category
2026-03-01,AWS Lambda,17309.197,production,direct_product_cost
2026-03-01,AWS Step Functions,1031.1111,production,direct_product_cost
2026-03-01,Amazon API Gateway,6424.9167,production,direct_product_cost
2026-03-01,Amazon Athena,18056.2249,production,direct_product_cost
2026-03-01,Amazon Bedrock,34096.3244,production,direct_product_cost
2026-03-01,Amazon CloudFront,2157.4887,production,direct_product_cost
2026-03-01,Amazon CloudWatch,6927.9672,production,direct_product_cost
2026-03-01,Amazon DynamoDB,6170.0406,production,direct_product_cost
2026-03-01,Amazon QuickSight,14140.0155,production,direct_product_cost
2026-03-01,Amazon S3,18778.4723,production,direct_product_cost
2026-03-01,Data Transfer,3694.0358,production,direct_product_cost
2026-04-01,AWS Glue,4994.0619,production,direct_product_cost
2026-04-01,AWS Lambda,17678.0515,production,direct_product_cost
2026-04-01,AWS Step Functions,1093.1734,production,direct_product_cost
2026-04-01,Amazon API Gateway,6129.3388,production,direct_product_cost
2026-04-01,Amazon Athena,16904.2509,production,direct_product_cost
2026-04-01,Amazon Bedrock,35901.8441,production,direct_product_cost
2026-04-01,Amazon CloudFront,2230.6116,production,direct_product_cost
2026-04-01,Amazon CloudWatch,7101.9709,production,direct_product_cost
2026-04-01,Amazon DynamoDB,6265.1881,production,direct_product_cost
2026-04-01,Amazon QuickSight,13257.0507,production,direct_product_cost
2026-04-01,Amazon S3,19059.6188,production,direct_product_cost
2026-04-01,Data Transfer,3706.0966,production,direct_product_cost
2026-05-01,AWS Glue,7469.7934000000005,production,direct_product_cost
2026-05-01,AWS Lambda,18278.8943,production,direct_product_cost
2026-05-01,AWS Step Functions,1034.3175,production,direct_product_cost
2026-05-01,Amazon API Gateway,6638.0102,production,direct_product_cost
2026-05-01,Amazon Athena,20299.909,production,direct_product_cost
2026-05-01,Amazon Bedrock,36281.1914,production,direct_product_cost
2026-05-01,Amazon CloudFront,2336.4422,production,direct_product_cost
2026-05-01,Amazon CloudWatch,7371.5079,production,direct_product_cost
2026-05-01,Amazon DynamoDB,6501.0131,production,direct_product_cost
2026-05-01,Amazon QuickSight,16027.8194,production,direct_product_cost
2026-05-01,Amazon S3,20030.6105,production,direct_product_cost
2026-05-01,Data Transfer,3931.8392,production,direct_product_cost
2026-06-01,AWS Glue,6841.72,production,direct_product_cost
2026-06-01,AWS Lambda,16917.3326,production,direct_product_cost
2026-06-01,AWS Step Functions,973.4832,production,direct_product_cost
2026-06-01,Amazon API Gateway,5990.6826,production,direct_product_cost
2026-06-01,Amazon Athena,19210.9003,production,direct_product_cost
2026-06-01,Amazon Bedrock,35602.4241,production,direct_product_cost
2026-06-01,Amazon CloudFront,2387.4975,production,direct_product_cost
2026-06-01,Amazon CloudWatch,6694.6913,production,direct_product_cost
2026-06-01,Amazon DynamoDB,6238.9281,production,direct_product_cost
2026-06-01,Amazon QuickSight,15143.5326,production,direct_product_cost
2026-06-01,Amazon S3,19773.7285,production,direct_product_cost
2026-06-01,Data Transfer,3822.4482,production,direct_product_cost
2025-01-01,Amazon EC2,6292.17,production,shared_platform_cost
2025-01-01,Amazon RDS,5101.11,production,shared_platform_cost
2025-01-01,Amazon CloudFront,2004.77,production,shared_platform_cost
2025-01-01,Amazon CloudWatch,1645.74,production,shared_platform_cost
2025-01-01,AWS Support,2790.14,production,shared_platform_cost
2025-01-01,Amazon EC2,1112.4,staging,non_production_cost
2025-01-01,Amazon RDS,995.9,staging,non_production_cost
2025-01-01,Amazon CloudWatch,284.87,staging,non_production_cost
2025-01-01,Amazon S3,216.23,staging,non_production_cost
2025-01-01,Amazon EC2,1669.03,development,non_production_cost
2025-01-01,Amazon RDS,1240.55,development,non_production_cost
2025-01-01,Amazon CloudWatch,350.27,development,non_production_cost
2025-01-01,Amazon S3,280.03,development,non_production_cost
2025-02-01,Amazon EC2,6246.87,production,shared_platform_cost
2025-02-01,Amazon RDS,5235.65,production,shared_platform_cost
2025-02-01,Amazon CloudFront,2185.16,production,shared_platform_cost
2025-02-01,Amazon CloudWatch,1600.9,production,shared_platform_cost
2025-02-01,AWS Support,3220.28,production,shared_platform_cost
2025-02-01,Amazon EC2,1180.15,staging,non_production_cost
2025-02-01,Amazon RDS,960.15,staging,non_production_cost
2025-02-01,Amazon CloudWatch,288.98,staging,non_production_cost
2025-02-01,Amazon S3,230.91,staging,non_production_cost
2025-02-01,Amazon EC2,1756.38,development,non_production_cost
2025-02-01,Amazon RDS,1247.46,development,non_production_cost
2025-02-01,Amazon CloudWatch,421.9,development,non_production_cost
2025-02-01,Amazon S3,297.61,development,non_production_cost
2025-03-01,Amazon EC2,6417.75,production,shared_platform_cost
2025-03-01,Amazon RDS,5432.11,production,shared_platform_cost
2025-03-01,Amazon CloudFront,2229.29,production,shared_platform_cost
2025-03-01,Amazon CloudWatch,1786.28,production,shared_platform_cost
2025-03-01,AWS Support,3091.51,production,shared_platform_cost
2025-03-01,Amazon EC2,1150.67,staging,non_production_cost
2025-03-01,Amazon RDS,911.41,staging,non_production_cost
2025-03-01,Amazon CloudWatch,311.13,staging,non_production_cost
2025-03-01,Amazon S3,220.42,staging,non_production_cost
2025-03-01,Amazon EC2,1673.02,development,non_production_cost
2025-03-01,Amazon RDS,1216.91,development,non_production_cost
2025-03-01,Amazon CloudWatch,475.4,development,non_production_cost
2025-03-01,Amazon S3,320.7,development,non_production_cost
2025-04-01,Amazon EC2,6566.34,production,shared_platform_cost
2025-04-01,Amazon RDS,5661.71,production,shared_platform_cost
2025-04-01,Amazon CloudFront,2344.37,production,shared_platform_cost
2025-04-01,Amazon CloudWatch,1845.94,production,shared_platform_cost
2025-04-01,AWS Support,3361.89,production,shared_platform_cost
2025-04-01,Amazon EC2,1338.64,staging,non_production_cost
2025-04-01,Amazon RDS,1040.93,staging,non_production_cost
2025-04-01,Amazon CloudWatch,327.61,staging,non_production_cost
2025-04-01,Amazon S3,225.82,staging,non_production_cost
2025-04-01,Amazon EC2,1680.81,development,non_production_cost
2025-04-01,Amazon RDS,1410.06,development,non_production_cost
2025-04-01,Amazon CloudWatch,414.66,development,non_production_cost
2025-04-01,Amazon S3,322.7,development,non_production_cost
2025-05-01,Amazon EC2,6964.04,production,shared_platform_cost
2025-05-01,Amazon RDS,5687.17,production,shared_platform_cost
2025-05-01,Amazon CloudFront,2573.7,production,shared_platform_cost
2025-05-01,Amazon CloudWatch,1842.35,production,shared_platform_cost
2025-05-01,AWS Support,3254.52,production,shared_platform_cost
2025-05-01,Amazon EC2,1241.88,staging,non_production_cost
2025-05-01,Amazon RDS,1034.02,staging,non_production_cost
2025-05-01,Amazon CloudWatch,369.98,staging,non_production_cost
2025-05-01,Amazon S3,261.79,staging,non_production_cost
2025-05-01,Amazon EC2,1805.39,development,non_production_cost
2025-05-01,Amazon RDS,1474.63,development,non_production_cost
2025-05-01,Amazon CloudWatch,425.74,development,non_production_cost
2025-05-01,Amazon S3,343.18,development,non_production_cost
2025-06-01,Amazon EC2,7217.58,production,shared_platform_cost
2025-06-01,Amazon RDS,6079.57,production,shared_platform_cost
2025-06-01,Amazon CloudFront,2417.33,production,shared_platform_cost
2025-06-01,Amazon CloudWatch,1836.14,production,shared_platform_cost
2025-06-01,AWS Support,3278.12,production,shared_platform_cost
2025-06-01,Amazon EC2,1223.62,staging,non_production_cost
2025-06-01,Amazon RDS,1022.76,staging,non_production_cost
2025-06-01,Amazon CloudWatch,330.65,staging,non_production_cost
2025-06-01,Amazon S3,260.6,staging,non_production_cost
2025-06-01,Amazon EC2,1656.77,development,non_production_cost
2025-06-01,Amazon RDS,1354.9,development,non_production_cost
2025-06-01,Amazon CloudWatch,411.13,development,non_production_cost
2025-06-01,Amazon S3,334.42,development,non_production_cost
2025-07-01,Amazon EC2,7205.08,production,shared_platform_cost
2025-07-01,Amazon RDS,5863.42,production,shared_platform_cost
2025-07-01,Amazon CloudFront,2573.6,production,shared_platform_cost
2025-07-01,Amazon CloudWatch,2104.97,production,shared_platform_cost
2025-07-01,AWS Support,3611.15,production,shared_platform_cost
2025-07-01,Amazon EC2,1400.41,staging,non_production_cost
2025-07-01,Amazon RDS,1152.38,staging,non_production_cost
2025-07-01,Amazon CloudWatch,359.75,staging,non_production_cost
2025-07-01,Amazon S3,266.77,staging,non_production_cost
2025-07-01,Amazon EC2,1947.96,development,non_production_cost
2025-07-01,Amazon RDS,1597.76,development,non_production_cost
2025-07-01,Amazon CloudWatch,476.64,development,non_production_cost
2025-07-01,Amazon S3,325.7,development,non_production_cost
2025-08-01,Amazon EC2,7495.94,production,shared_platform_cost
2025-08-01,Amazon RDS,6321.91,production,shared_platform_cost
2025-08-01,Amazon CloudFront,2566.28,production,shared_platform_cost
2025-08-01,Amazon CloudWatch,2035.57,production,shared_platform_cost
2025-08-01,AWS Support,3959.89,production,shared_platform_cost
2025-08-01,Amazon EC2,1546.6,staging,non_production_cost
2025-08-01,Amazon RDS,1159.28,staging,non_production_cost
2025-08-01,Amazon CloudWatch,379.9,staging,non_production_cost
2025-08-01,Amazon S3,274.04,staging,non_production_cost
2025-08-01,Amazon EC2,1838.06,development,non_production_cost
2025-08-01,Amazon RDS,1415.02,development,non_production_cost
2025-08-01,Amazon CloudWatch,464.41,development,non_production_cost
2025-08-01,Amazon S3,344.24,development,non_production_cost
2025-09-01,Amazon EC2,8059.06,production,shared_platform_cost
2025-09-01,Amazon RDS,6705.71,production,shared_platform_cost
2025-09-01,Amazon CloudFront,2649.5,production,shared_platform_cost
2025-09-01,Amazon CloudWatch,2050.45,production,shared_platform_cost
2025-09-01,AWS Support,3688.02,production,shared_platform_cost
2025-09-01,Amazon EC2,1309.19,staging,non_production_cost
2025-09-01,Amazon RDS,1173.14,staging,non_production_cost
2025-09-01,Amazon CloudWatch,354.71,staging,non_production_cost
2025-09-01,Amazon S3,287.93,staging,non_production_cost
2025-09-01,Amazon EC2,1803.87,development,non_production_cost
2025-09-01,Amazon RDS,1448.45,development,non_production_cost
2025-09-01,Amazon CloudWatch,532.97,development,non_production_cost
2025-09-01,Amazon S3,358.8,development,non_production_cost
2025-10-01,Amazon EC2,7939.75,production,shared_platform_cost
2025-10-01,Amazon RDS,6607.14,production,shared_platform_cost
2025-10-01,Amazon CloudFront,2666.61,production,shared_platform_cost
2025-10-01,Amazon CloudWatch,2122.92,production,shared_platform_cost
2025-10-01,AWS Support,4182.38,production,shared_platform_cost
2025-10-01,Amazon EC2,1408.44,staging,non_production_cost
2025-10-01,Amazon RDS,1138.41,staging,non_production_cost
2025-10-01,Amazon CloudWatch,390.89,staging,non_production_cost
2025-10-01,Amazon S3,301.27,staging,non_production_cost
2025-10-01,Amazon EC2,2132.1,development,non_production_cost
2025-10-01,Amazon RDS,1456.78,development,non_production_cost
2025-10-01,Amazon CloudWatch,524.25,development,non_production_cost
2025-10-01,Amazon S3,382.31,development,non_production_cost
2025-11-01,Amazon EC2,8369.05,production,shared_platform_cost
2025-11-01,Amazon RDS,6654.22,production,shared_platform_cost
2025-11-01,Amazon CloudFront,2942.67,production,shared_platform_cost
2025-11-01,Amazon CloudWatch,2241.14,production,shared_platform_cost
2025-11-01,AWS Support,3909.47,production,shared_platform_cost
2025-11-01,Amazon EC2,1518.83,staging,non_production_cost
2025-11-01,Amazon RDS,1109.68,staging,non_production_cost
2025-11-01,Amazon CloudWatch,391.0,staging,non_production_cost
2025-11-01,Amazon S3,289.35,staging,non_production_cost
2025-11-01,Amazon EC2,1975.26,development,non_production_cost
2025-11-01,Amazon RDS,1610.09,development,non_production_cost
2025-11-01,Amazon CloudWatch,486.2,development,non_production_cost
2025-11-01,Amazon S3,380.15,development,non_production_cost
2025-12-01,Amazon EC2,9144.63,production,shared_platform_cost
2025-12-01,Amazon RDS,6703.48,production,shared_platform_cost
2025-12-01,Amazon CloudFront,2877.75,production,shared_platform_cost
2025-12-01,Amazon CloudWatch,2138.24,production,shared_platform_cost
2025-12-01,AWS Support,4132.71,production,shared_platform_cost
2025-12-01,Amazon EC2,1707.89,staging,non_production_cost
2025-12-01,Amazon RDS,1255.31,staging,non_production_cost
2025-12-01,Amazon CloudWatch,416.49,staging,non_production_cost
2025-12-01,Amazon S3,303.51,staging,non_production_cost
2025-12-01,Amazon EC2,2313.87,development,non_production_cost
2025-12-01,Amazon RDS,1691.26,development,non_production_cost
2025-12-01,Amazon CloudWatch,529.07,development,non_production_cost
2025-12-01,Amazon S3,393.87,development,non_production_cost
2026-01-01,Amazon EC2,8674.91,production,shared_platform_cost
2026-01-01,Amazon RDS,7152.62,production,shared_platform_cost
2026-01-01,Amazon CloudFront,2933.74,production,shared_platform_cost
2026-01-01,Amazon CloudWatch,2174.72,production,shared_platform_cost
2026-01-01,AWS Support,4041.1,production,shared_platform_cost
2026-01-01,Amazon EC2,1460.68,staging,non_production_cost
2026-01-01,Amazon RDS,1354.75,staging,non_production_cost
2026-01-01,Amazon CloudWatch,436.74,staging,non_production_cost
2026-01-01,Amazon S3,311.4,staging,non_production_cost
2026-01-01,Amazon EC2,3780.15,development,non_production_cost
2026-01-01,Amazon RDS,2968.5,development,non_production_cost
2026-01-01,Amazon CloudWatch,934.78,development,non_production_cost
2026-01-01,Amazon S3,721.62,development,non_production_cost
2026-02-01,Amazon EC2,8484.69,production,shared_platform_cost
2026-02-01,Amazon RDS,6980.69,production,shared_platform_cost
2026-02-01,Amazon CloudFront,2968.68,production,shared_platform_cost
2026-02-01,Amazon CloudWatch,2352.92,production,shared_platform_cost
2026-02-01,AWS Support,4231.45,production,shared_platform_cost
2026-02-01,Amazon EC2,1638.0,staging,non_production_cost
2026-02-01,Amazon RDS,1243.97,staging,non_production_cost
2026-02-01,Amazon CloudWatch,417.61,staging,non_production_cost
2026-02-01,Amazon S3,308.56,staging,non_production_cost
2026-02-01,Amazon EC2,3568.37,development,non_production_cost
2026-02-01,Amazon RDS,3038.55,development,non_production_cost
2026-02-01,Amazon CloudWatch,912.29,development,non_production_cost
2026-02-01,Amazon S3,674.1,development,non_production_cost
2026-02-01,Amazon CloudWatch,6200.0,production,incident_cost
2026-03-01,Amazon EC2,9081.5,production,shared_platform_cost
2026-03-01,Amazon RDS,7907.1,production,shared_platform_cost
2026-03-01,Amazon CloudFront,3107.76,production,shared_platform_cost
2026-03-01,Amazon CloudWatch,2290.95,production,shared_platform_cost
2026-03-01,AWS Support,4157.48,production,shared_platform_cost
2026-03-01,Amazon EC2,1516.81,staging,non_production_cost
2026-03-01,Amazon RDS,1393.99,staging,non_production_cost
2026-03-01,Amazon CloudWatch,508.59,staging,non_production_cost
2026-03-01,Amazon S3,349.39,staging,non_production_cost
2026-03-01,Amazon EC2,3945.09,development,non_production_cost
2026-03-01,Amazon RDS,3235.12,development,non_production_cost
2026-03-01,Amazon CloudWatch,1010.94,development,non_production_cost
2026-03-01,Amazon S3,787.13,development,non_production_cost
2026-04-01,Amazon EC2,9394.24,production,shared_platform_cost
2026-04-01,Amazon RDS,8144.61,production,shared_platform_cost
2026-04-01,Amazon CloudFront,3164.81,production,shared_platform_cost
2026-04-01,Amazon CloudWatch,2609.61,production,shared_platform_cost
2026-04-01,AWS Support,4226.34,production,shared_platform_cost
2026-04-01,Amazon EC2,1690.58,staging,non_production_cost
2026-04-01,Amazon RDS,1500.1,staging,non_production_cost
2026-04-01,Amazon CloudWatch,414.57,staging,non_production_cost
2026-04-01,Amazon S3,346.61,staging,non_production_cost
2026-04-01,Amazon EC2,2349.25,development,non_production_cost
2026-04-01,Amazon RDS,1788.91,development,non_production_cost
2026-04-01,Amazon CloudWatch,541.62,development,non_production_cost
2026-04-01,Amazon S3,400.21,development,non_production_cost
2026-05-01,Amazon EC2,9975.43,production,shared_platform_cost
2026-05-01,Amazon RDS,7955.61,production,shared_platform_cost
2026-05-01,Amazon CloudFront,3350.95,production,shared_platform_cost
2026-05-01,Amazon CloudWatch,2475.36,production,shared_platform_cost
2026-05-01,AWS Support,4503.94,production,shared_platform_cost
2026-05-01,Amazon EC2,1863.39,staging,non_production_cost
2026-05-01,Amazon RDS,1378.06,staging,non_production_cost
2026-05-01,Amazon CloudWatch,488.46,staging,non_production_cost
2026-05-01,Amazon S3,347.13,staging,non_production_cost
2026-05-01,Amazon EC2,2333.4,development,non_production_cost
2026-05-01,Amazon RDS,1886.57,development,non_production_cost
2026-05-01,Amazon CloudWatch,660.48,development,non_production_cost
2026-05-01,Amazon S3,492.86,development,non_production_cost
2026-06-01,Amazon EC2,10446.91,production,shared_platform_cost
2026-06-01,Amazon RDS,7938.28,production,shared_platform_cost
2026-06-01,Amazon CloudFront,3232.35,production,shared_platform_cost
2026-06-01,Amazon CloudWatch,2502.19,production,shared_platform_cost
2026-06-01,AWS Support,4876.23,production,shared_platform_cost
2026-06-01,Amazon EC2,1997.29,staging,non_production_cost
2026-06-01,Amazon RDS,1360.16,staging,non_production_cost
2026-06-01,Amazon CloudWatch,457.39,staging,non_production_cost
2026-06-01,Amazon S3,347.02,staging,non_production_cost
2026-06-01,Amazon EC2,2287.98,development,non_production_cost
2026-06-01,Amazon RDS,2008.92,development,non_production_cost
2026-06-01,Amazon CloudWatch,636.51,development,non_production_cost
2026-06-01,Amazon S3,413.61,development,non_production_cost
