month,customer_id,plan_type,seat_count,base_mrr_usd,discount_pct,mrr_usd,arr_usd,contract_type,renewal_month,subscription_status
2025-04-01,CUST-0003,Starter,12,149.0,0.0,253.79,3045.51,Monthly,2026-05-01,Active
2025-05-01,CUST-0003,Starter,13,149.0,0.0,268.83,3225.96,Monthly,2026-05-01,Active
2025-06-01,CUST-0003,Starter,13,149.0,0.0,269.48,3233.79,Monthly,2026-05-01,Active
2025-07-01,CUST-0003,Starter,13,149.0,0.0,270.13,3241.62,Monthly,2026-05-01,Active
2025-08-01,CUST-0003,Starter,11,149.0,0.0,241.74,2900.85,Monthly,2026-05-01,Active
2025-09-01,CUST-0003,Starter,13,149.0,0.0,271.44,3257.28,Monthly,2026-05-01,Active
2025-10-01,CUST-0003,Starter,12,149.0,0.0,257.5,3089.97,Monthly,2026-05-01,Active
2025-11-01,CUST-0003,Starter,13,149.0,0.0,272.75,3272.94,Monthly,2026-05-01,Active
2025-12-01,CUST-0003,Starter,13,149.0,0.0,273.4,3280.77,Monthly,2026-05-01,Active
2026-01-01,CUST-0003,Starter,14,149.0,0.0,288.75,3465.0,Monthly,2027-05-01,Active
2026-02-01,CUST-0003,Starter,13,149.0,0.0,274.7,3296.43,Monthly,2027-05-01,Active
2026-03-01,CUST-0003,Starter,14,149.0,0.0,290.12,3481.5,Monthly,2027-05-01,Active
2026-04-01,CUST-0003,Starter,14,149.0,0.0,290.81,3489.75,Monthly,2027-05-01,Active
2026-05-01,CUST-0003,Starter,13,149.0,0.0,276.66,3319.92,Monthly,2027-05-01,Active
2026-06-01,CUST-0003,Starter,13,149.0,0.0,277.31,3327.75,Monthly,2027-05-01,Active
2025-01-01,CUST-0004,Professional,74,599.0,0.0,1677.0,20124.0,Monthly,2026-01-01,Active
2025-02-01,CUST-0004,Professional,77,599.0,0.0,1747.36,20968.29,Monthly,2026-01-01,Active
2025-03-01,CUST-0004,Professional,79,599.0,0.0,1795.93,21551.22,Monthly,2026-01-01,Active
2025-04-01,CUST-0004,Professional,77,599.0,0.0,1756.07,21072.87,Monthly,2026-01-01,Active
2025-05-01,CUST-0004,Professional,85,599.0,0.0,1938.19,23258.28,Monthly,2026-01-01,Active
2025-06-01,CUST-0004,Professional,81,599.0,0.0,1853.89,22246.65,Monthly,2026-01-01,Active
2025-07-01,CUST-0004,Professional,83,599.0,0.0,1903.12,22837.5,Monthly,2026-01-01,Active
2025-08-01,CUST-0004,Professional,82,599.0,0.0,1885.43,22625.13,Monthly,2026-01-01,Active
2025-09-01,CUST-0004,Professional,85,599.0,0.0,1957.38,23488.56,Monthly,2026-01-01,Active
2025-10-01,CUST-0004,Professional,76,599.0,0.0,1759.72,21116.67,Monthly,2026-01-01,Active
2025-11-01,CUST-0004,Professional,81,599.0,0.0,1876.77,22521.3,Monthly,2026-01-01,Active
2025-12-01,CUST-0004,Professional,84,599.0,0.0,1949.17,23390.01,Monthly,2026-01-01,Active
2025-03-01,CUST-0005,Starter,5,149.0,0.0,149.0,1788.0,Monthly,2026-03-01,Active
2025-04-01,CUST-0005,Starter,5,149.0,0.0,149.37,1792.47,Monthly,2026-03-01,Active
2025-05-01,CUST-0005,Starter,5,149.0,0.0,149.74,1796.94,Monthly,2026-03-01,Active
2025-06-01,CUST-0005,Starter,5,149.0,0.0,150.12,1801.41,Monthly,2026-03-01,Active
2025-07-01,CUST-0005,Starter,5,149.0,0.0,150.49,1805.88,Monthly,2026-03-01,Active
2025-08-01,CUST-0005,Starter,5,149.0,0.0,150.86,1810.35,Monthly,2026-03-01,Active
2025-09-01,CUST-0005,Starter,5,149.0,0.0,151.23,1814.82,Monthly,2026-03-01,Active
2025-10-01,CUST-0005,Starter,5,149.0,0.0,151.61,1819.29,Monthly,2026-03-01,Active
2025-11-01,CUST-0005,Starter,5,149.0,0.0,151.98,1823.76,Monthly,2026-03-01,Active
2025-12-01,CUST-0005,Starter,5,149.0,0.0,152.35,1828.23,Monthly,2026-03-01,Active
2026-01-01,CUST-0005,Starter,5,149.0,0.0,152.72,1832.7,Monthly,2027-03-01,Active
2026-02-01,CUST-0005,Starter,5,149.0,0.0,153.1,1837.17,Monthly,2027-03-01,Active
2026-03-01,CUST-0005,Starter,5,149.0,0.0,153.47,1841.64,Monthly,2027-03-01,Active
2026-04-01,CUST-0005,Starter,5,149.0,0.0,153.84,1846.11,Monthly,2027-03-01,Active
2026-05-01,CUST-0005,Starter,5,149.0,0.0,154.21,1850.58,Monthly,2027-03-01,Active
2026-06-01,CUST-0005,Starter,5,149.0,0.0,154.59,1855.05,Monthly,2027-03-01,Active
2025-09-01,CUST-0006,Enterprise,258,2499.0,0.13,6435.39,77224.68,Annual,2026-09-01,Active
2025-10-01,CUST-0006,Enterprise,250,2499.0,0.13,6235.18,74822.15,Annual,2026-09-01,Active
2025-11-01,CUST-0006,Enterprise,274,2499.0,0.13,6901.24,82814.93,Annual,2026-09-01,Active
2025-12-01,CUST-0006,Enterprise,276,2499.0,0.13,6972.76,83673.08,Annual,2026-09-01,Active
2026-01-01,CUST-0006,Enterprise,300,2499.0,0.13,7643.81,91725.74,Annual,2027-09-01,Active
2026-02-01,CUST-0006,Enterprise,282,2499.0,0.13,7171.2,86054.44,Annual,2027-09-01,Active
2026-03-01,CUST-0006,Enterprise,301,2499.0,0.13,7709.03,92508.32,Annual,2027-09-01,Active
2026-04-01,CUST-0006,Enterprise,290,2499.0,0.13,7426.15,89113.83,Annual,2027-09-01,Active
2026-05-01,CUST-0006,Enterprise,305,2499.0,0.13,7857.04,94284.48,Annual,2027-09-01,Active
2026-06-01,CUST-0006,Enterprise,298,2499.0,0.13,7683.26,92199.11,Annual,2027-09-01,Active
2025-03-01,CUST-0007,Professional,68,599.0,0.0,1545.0,18540.0,Monthly,2026-03-01,Active
2025-04-01,CUST-0007,Professional,76,599.0,0.0,1725.3,20703.63,Monthly,2026-03-01,Active
2025-05-01,CUST-0007,Professional,77,599.0,0.0,1751.71,21020.58,Monthly,2026-03-01,Active
2025-06-01,CUST-0007,Professional,77,599.0,0.0,1756.07,21072.87,Monthly,2026-03-01,Active
2025-07-01,CUST-0007,Professional,71,599.0,0.0,1627.11,19525.32,Monthly,2026-03-01,Active
2025-08-01,CUST-0007,Professional,71,599.0,0.0,1631.14,19573.65,Monthly,2026-03-01,Active
2025-09-01,CUST-0007,Professional,76,599.0,0.0,1746.81,20961.78,Monthly,2026-03-01,Active
2025-10-01,CUST-0007,Professional,73,599.0,0.0,1683.96,20207.55,Monthly,2026-03-01,Active
2025-11-01,CUST-0007,Professional,73,599.0,0.0,1688.1,20257.2,Monthly,2026-03-01,Active
2025-12-01,CUST-0007,Professional,73,599.0,0.0,1692.24,20306.85,Monthly,2026-03-01,Active
2026-01-01,CUST-0007,Professional,83,599.0,0.0,1921.87,23062.5,Monthly,2027-03-01,Active
2026-02-01,CUST-0007,Professional,86,599.0,0.0,1994.38,23932.53,Monthly,2027-03-01,Active
2026-03-01,CUST-0007,Professional,81,599.0,0.0,1885.93,22631.16,Monthly,2027-03-01,Active
2026-04-01,CUST-0007,Professional,84,599.0,0.0,1958.65,23503.83,Monthly,2027-03-01,Active
2026-05-01,CUST-0007,Professional,82,599.0,0.0,1917.85,23014.26,Monthly,2027-03-01,Active
2026-06-01,CUST-0007,Professional,93,599.0,0.0,2173.56,26082.75,Monthly,2027-03-01,Active
2025-01-01,CUST-0008,Enterprise,142,2499.0,0.13,3364.74,40376.88,Annual,2026-06-01,Active
2025-02-01,CUST-0008,Enterprise,146,2499.0,0.13,3483.05,41796.54,Annual,2026-06-01,Active
2025-03-01,CUST-0008,Enterprise,159,2499.0,0.13,3850.08,46200.97,Annual,2026-06-01,Active
2025-04-01,CUST-0008,Enterprise,159,2499.0,0.13,3859.49,46313.93,Annual,2026-06-01,Active
2025-05-01,CUST-0008,Enterprise,150,2499.0,0.13,3619.5,43434.03,Annual,2026-06-01,Active
2025-06-01,CUST-0008,Enterprise,164,2499.0,0.13,4017.22,48206.6,Annual,2026-06-01,Active
2025-07-01,CUST-0008,Enterprise,148,2499.0,0.13,3581.42,42977.07,Annual,2026-06-01,Active
2025-08-01,CUST-0008,Enterprise,173,2499.0,0.13,4287.94,51455.31,Annual,2026-06-01,Active
2025-09-01,CUST-0008,Enterprise,170,2499.0,0.13,4214.36,50572.27,Annual,2026-06-01,Active
2025-10-01,CUST-0008,Enterprise,163,2499.0,0.13,4028.17,48338.04,Annual,2026-06-01,Active
2025-11-01,CUST-0008,Enterprise,165,2499.0,0.13,4094.09,49129.02,Annual,2026-06-01,Active
2025-12-01,CUST-0008,Enterprise,181,2499.0,0.13,4554.84,54658.1,Annual,2026-06-01,Active
2026-01-01,CUST-0008,Enterprise,184,2499.0,0.13,4650.49,55805.9,Annual,2027-06-01,Active
2026-02-01,CUST-0008,Enterprise,176,2499.0,0.13,4435.04,53220.51,Annual,2027-06-01,Active
2026-03-01,CUST-0008,Enterprise,197,2499.0,0.13,5041.71,60500.48,Annual,2027-06-01,Active
2026-04-01,CUST-0008,Enterprise,191,2499.0,0.13,4882.96,58595.54,Annual,2027-06-01,Active
2026-05-01,CUST-0008,Enterprise,197,2499.0,0.13,5065.66,60787.89,Annual,2027-06-01,Active
2026-06-01,CUST-0008,Enterprise,208,2499.0,0.13,5392.1,64705.24,Annual,2027-06-01,Active
2025-01-01,CUST-0009,Starter,9,149.0,0.1,189.11,2269.35,Annual,2026-03-01,Active
2025-02-01,CUST-0009,Starter,10,149.0,0.1,202.52,2430.24,Annual,2026-03-01,Active
2025-03-01,CUST-0009,Starter,9,149.0,0.1,190.03,2280.42,Annual,2026-03-01,Active
2025-04-01,CUST-0009,Starter,9,149.0,0.1,190.5,2285.95,Annual,2026-03-01,Active
2025-05-01,CUST-0009,Starter,10,149.0,0.1,204.0,2447.98,Annual,2026-03-01,Active
2025-06-01,CUST-0009,Starter,10,149.0,0.1,204.49,2453.89,Annual,2026-03-01,Active
2025-07-01,CUST-0009,Starter,10,149.0,0.1,204.98,2459.81,Annual,2026-03-01,Active
2025-08-01,CUST-0009,Starter,9,149.0,0.1,192.34,2308.1,Annual,2026-03-01,Active
2025-09-01,CUST-0009,Starter,9,149.0,0.1,192.8,2313.63,Annual,2026-03-01,Active
2025-10-01,CUST-0009,Starter,9,149.0,0.1,193.26,2319.16,Annual,2026-03-01,Active
2025-11-01,CUST-0009,Starter,9,149.0,0.1,193.72,2324.7,Annual,2026-03-01,Active
2025-12-01,CUST-0009,Starter,10,149.0,0.1,207.45,2489.37,Annual,2026-03-01,Active
2026-01-01,CUST-0009,Starter,10,149.0,0.1,207.94,2495.29,Annual,2027-03-01,Active
2026-02-01,CUST-0009,Starter,10,149.0,0.1,208.43,2501.2,Annual,2027-03-01,Active
2026-03-01,CUST-0009,Starter,10,149.0,0.1,208.93,2507.11,Annual,2027-03-01,Active
2026-04-01,CUST-0009,Starter,10,149.0,0.1,209.42,2513.02,Annual,2027-03-01,Active
2026-05-01,CUST-0009,Starter,10,149.0,0.1,209.91,2518.94,Annual,2027-03-01,Active
2026-06-01,CUST-0009,Starter,10,149.0,0.1,210.4,2524.85,Annual,2027-03-01,Active
2025-01-01,CUST-0010,Professional,25,599.0,0.1,547.19,6566.24,Annual,2026-07-01,Active
2025-02-01,CUST-0010,Professional,25,599.0,0.1,548.53,6582.41,Annual,2026-07-01,Active
2025-03-01,CUST-0010,Professional,25,599.0,0.1,549.88,6598.58,Annual,2026-07-01,Active
2025-04-01,CUST-0010,Professional,25,599.0,0.1,551.23,6614.76,Annual,2026-07-01,Active
2025-05-01,CUST-0010,Professional,25,599.0,0.1,552.58,6630.93,Annual,2026-07-01,Active
2025-06-01,CUST-0010,Professional,25,599.0,0.1,553.93,6647.1,Annual,2026-07-01,Active
2025-07-01,CUST-0010,Professional,25,599.0,0.1,555.27,6663.28,Annual,2026-07-01,Active
2025-08-01,CUST-0010,Professional,25,599.0,0.1,556.62,6679.45,Annual,2026-07-01,Active
2025-09-01,CUST-0010,Professional,25,599.0,0.1,557.97,6695.62,Annual,2026-07-01,Active
2025-10-01,CUST-0010,Professional,25,599.0,0.1,559.32,6711.8,Annual,2026-07-01,Active
2025-11-01,CUST-0010,Professional,25,599.0,0.1,560.66,6727.97,Annual,2026-07-01,Active
2025-12-01,CUST-0010,Professional,25,599.0,0.1,562.01,6744.14,Annual,2026-07-01,Active
2026-01-01,CUST-0010,Professional,25,599.0,0.1,563.36,6760.31,Annual,2027-07-01,Active
2026-02-01,CUST-0010,Professional,25,599.0,0.1,564.71,6776.49,Annual,2027-07-01,Active
2026-03-01,CUST-0010,Professional,25,599.0,0.1,566.06,6792.66,Annual,2027-07-01,Active
2026-04-01,CUST-0010,Enterprise,100,2499.0,0.13,2288.27,27459.26,Annual,2027-07-01,Active
2026-05-01,CUST-0010,Enterprise,100,2499.0,0.13,2293.71,27524.49,Annual,2027-07-01,Active
2026-06-01,CUST-0010,Enterprise,100,2499.0,0.13,2299.14,27589.71,Annual,2027-07-01,Active
2025-06-01,CUST-0011,Professional,312,599.0,0.0,6913.0,82956.0,Monthly,2026-06-01,Active
2025-07-01,CUST-0011,Professional,310,599.0,0.0,6886.17,82634.07,Monthly,2026-06-01,Active
2025-08-01,CUST-0011,Professional,311,599.0,0.0,6925.45,83105.46,Monthly,2026-06-01,Active
2025-09-01,CUST-0011,Professional,300,599.0,0.0,6698.87,80386.41,Monthly,2026-06-01,Active
2025-10-01,CUST-0011,Professional,316,599.0,0.0,7071.01,84852.12,Monthly,2026-06-01,Active
2025-11-01,CUST-0011,Professional,318,599.0,0.0,7133.06,85596.75,Monthly,2026-06-01,Active
2025-12-01,CUST-0011,Professional,348,599.0,0.0,7820.57,93846.9,Monthly,2026-06-01,Active
2026-01-01,CUST-0011,Professional,345,599.0,0.0,7772.68,93272.19,Monthly,2027-06-01,Active
2026-02-01,CUST-0011,Enterprise,402,2499.0,0.0,12098.22,145178.64,Monthly,2027-06-01,Active
2026-03-01,CUST-0011,Enterprise,373,2499.0,0.0,11208.65,134503.74,Monthly,2027-06-01,Active
2026-04-01,CUST-0011,Enterprise,367,2499.0,0.0,11045.4,132544.8,Monthly,2027-06-01,Active
2026-05-01,CUST-0011,Enterprise,384,2499.0,0.0,11613.83,139365.99,Monthly,2027-06-01,Active
2026-06-01,CUST-0011,Enterprise,419,2499.0,0.0,12759.64,153115.68,Monthly,2027-06-01,Active
2025-01-01,CUST-0012,Starter,9,149.0,0.0,208.07,2496.9,Monthly,2026-07-01,Active
2025-02-01,CUST-0012,Starter,9,149.0,0.0,208.59,2503.05,Monthly,2026-07-01,Active
2025-03-01,CUST-0012,Starter,9,149.0,0.0,209.1,2509.2,Monthly,2026-07-01,Active
2025-04-01,CUST-0012,Starter,10,149.0,0.0,223.93,2687.13,Monthly,2026-07-01,Active
2025-05-01,CUST-0012,Starter,9,149.0,0.0,210.12,2521.5,Monthly,2026-07-01,Active
2025-06-01,CUST-0012,Starter,9,149.0,0.0,210.64,2527.65,Monthly,2026-07-01,Active
2025-07-01,CUST-0012,Starter,9,149.0,0.0,211.15,2533.8,Monthly,2026-07-01,Active
2025-08-01,CUST-0012,Starter,9,149.0,0.0,211.66,2539.95,Monthly,2026-07-01,Active
2025-09-01,CUST-0012,Starter,9,149.0,0.0,212.17,2546.1,Monthly,2026-07-01,Active
2025-10-01,CUST-0012,Starter,9,149.0,0.0,212.69,2552.25,Monthly,2026-07-01,Active
2025-11-01,CUST-0012,Starter,9,149.0,0.0,213.2,2558.4,Monthly,2026-07-01,Active
2025-12-01,CUST-0012,Starter,9,149.0,0.0,213.71,2564.55,Monthly,2026-07-01,Active
2026-01-01,CUST-0012,Starter,9,149.0,0.0,214.22,2570.7,Monthly,2027-07-01,Active
2026-02-01,CUST-0012,Starter,10,149.0,0.0,229.4,2752.83,Monthly,2027-07-01,Active
2026-03-01,CUST-0012,Starter,10,149.0,0.0,229.95,2759.4,Monthly,2027-07-01,Active
2026-04-01,CUST-0012,Starter,10,149.0,0.0,230.5,2765.97,Monthly,2027-07-01,Active
2026-05-01,CUST-0012,Starter,10,149.0,0.0,231.04,2772.54,Monthly,2027-07-01,Active
2026-06-01,CUST-0012,Starter,10,149.0,0.0,231.59,2779.11,Monthly,2027-07-01,Active
2025-03-01,CUST-0013,Professional,57,599.0,0.1,1172.7,14072.4,Annual,2026-03-01,Active
2025-04-01,CUST-0013,Professional,58,599.0,0.1,1195.48,14345.78,Annual,2026-03-01,Active
2025-05-01,CUST-0013,Professional,54,599.0,0.1,1118.87,13426.4,Annual,2026-03-01,Active
2025-06-01,CUST-0013,Professional,54,599.0,0.1,1121.65,13459.8,Annual,2026-03-01,Active
2025-07-01,CUST-0013,Professional,52,599.0,0.1,1084.44,13013.24,Annual,2026-03-01,Active
2025-08-01,CUST-0013,Professional,58,599.0,0.1,1207.41,14488.88,Annual,2026-03-01,Active
2025-09-01,CUST-0013,Professional,59,599.0,0.1,1230.48,14765.81,Annual,2026-03-01,Active
2025-10-01,CUST-0013,Professional,53,599.0,0.1,1112.64,13351.64,Annual,2026-03-01,Active
2025-11-01,CUST-0013,Professional,54,599.0,0.1,1135.57,13626.79,Annual,2026-03-01,Active
2025-12-01,CUST-0013,Professional,56,599.0,0.1,1178.84,14146.08,Annual,2026-03-01,Active
2026-01-01,CUST-0013,Enterprise,100,2499.0,0.13,2228.48,26741.8,Annual,2027-03-01,Active
2026-02-01,CUST-0013,Enterprise,100,2499.0,0.13,2233.92,26807.02,Annual,2027-03-01,Active
2026-03-01,CUST-0013,Enterprise,100,2499.0,0.13,2239.35,26872.25,Annual,2027-03-01,Active
2026-04-01,CUST-0013,Enterprise,100,2499.0,0.13,2244.79,26937.47,Annual,2027-03-01,Active
2026-05-01,CUST-0013,Enterprise,100,2499.0,0.13,2250.22,27002.69,Annual,2027-03-01,Active
2026-06-01,CUST-0013,Enterprise,100,2499.0,0.13,2255.66,27067.92,Annual,2027-03-01,Active
2025-01-01,CUST-0014,Professional,28,599.0,0.1,602.99,7235.86,Annual,2026-10-01,Active
2025-02-01,CUST-0014,Professional,28,599.0,0.1,604.49,7253.82,Annual,2026-10-01,Active
2025-03-01,CUST-0014,Professional,29,599.0,0.1,626.03,7512.35,Annual,2026-10-01,Active
2025-04-01,CUST-0014,Professional,28,599.0,0.1,607.48,7289.73,Annual,2026-10-01,Active
2025-05-01,CUST-0014,Professional,28,599.0,0.1,608.97,7307.68,Annual,2026-10-01,Active
2025-06-01,CUST-0014,Professional,28,599.0,0.1,610.47,7325.64,Annual,2026-10-01,Active
2025-07-01,CUST-0014,Professional,28,599.0,0.1,611.97,7343.59,Annual,2026-10-01,Active
2025-08-01,CUST-0014,Professional,30,599.0,0.1,654.05,7848.63,Annual,2026-10-01,Active
2025-09-01,CUST-0014,Professional,29,599.0,0.1,635.3,7623.64,Annual,2026-10-01,Active
2025-10-01,CUST-0014,Professional,30,599.0,0.1,657.24,7886.92,Annual,2026-10-01,Active
2025-11-01,CUST-0014,Professional,29,599.0,0.1,638.39,7660.74,Annual,2026-10-01,Active
2025-12-01,CUST-0014,Professional,30,599.0,0.1,660.43,7925.2,Annual,2026-10-01,Active
2026-01-01,CUST-0014,Professional,32,599.0,0.1,703.11,8437.37,Annual,2027-10-01,Active
2026-02-01,CUST-0014,Professional,32,599.0,0.1,704.81,8457.7,Annual,2027-10-01,Active
2025-01-01,CUST-0015,Starter,7,149.0,0.1,159.3,1911.6,Annual,2026-01-01,Active
2025-02-01,CUST-0015,Starter,7,149.0,0.1,159.7,1916.38,Annual,2026-01-01,Active
2025-03-01,CUST-0015,Starter,7,149.0,0.1,160.1,1921.16,Annual,2026-01-01,Active
2025-04-01,CUST-0015,Starter,7,149.0,0.1,160.49,1925.94,Annual,2026-01-01,Active
2025-05-01,CUST-0015,Starter,7,149.0,0.1,160.89,1930.72,Annual,2026-01-01,Active
2025-06-01,CUST-0015,Starter,7,149.0,0.1,161.29,1935.49,Annual,2026-01-01,Active
2025-07-01,CUST-0015,Starter,7,149.0,0.1,161.69,1940.27,Annual,2026-01-01,Active
2025-08-01,CUST-0015,Starter,7,149.0,0.1,162.09,1945.05,Annual,2026-01-01,Active
2025-09-01,CUST-0015,Starter,7,149.0,0.1,162.49,1949.83,Annual,2026-01-01,Active
2025-10-01,CUST-0015,Starter,7,149.0,0.1,162.88,1954.61,Annual,2026-01-01,Active
2025-11-01,CUST-0015,Starter,7,149.0,0.1,163.28,1959.39,Annual,2026-01-01,Active
2025-12-01,CUST-0015,Starter,7,149.0,0.1,163.68,1964.17,Annual,2026-01-01,Active
2026-01-01,CUST-0015,Starter,7,149.0,0.1,164.08,1968.95,Annual,2027-01-01,Active
2026-02-01,CUST-0015,Starter,8,149.0,0.1,177.49,2129.84,Annual,2027-01-01,Active
2026-03-01,CUST-0015,Starter,8,149.0,0.1,177.92,2135.0,Annual,2027-01-01,Active
2026-04-01,CUST-0015,Starter,7,149.0,0.1,165.27,1983.29,Annual,2027-01-01,Active
2026-05-01,CUST-0015,Starter,7,149.0,0.1,165.67,1988.06,Annual,2027-01-01,Active
2026-06-01,CUST-0015,Starter,8,149.0,0.1,179.21,2150.47,Annual,2027-01-01,Active
2025-09-01,CUST-0016,Professional,25,599.0,0.1,539.1,6469.2,Annual,2026-09-01,Active
2025-10-01,CUST-0016,Professional,25,599.0,0.1,540.45,6485.37,Annual,2026-09-01,Active
2025-11-01,CUST-0016,Professional,25,599.0,0.1,541.8,6501.55,Annual,2026-09-01,Active
2025-12-01,CUST-0016,Professional,25,599.0,0.1,543.14,6517.72,Annual,2026-09-01,Active
2026-01-01,CUST-0016,Professional,25,599.0,0.1,544.49,6533.89,Annual,2027-09-01,Active
2026-02-01,CUST-0016,Professional,25,599.0,0.1,545.84,6550.07,Annual,2027-09-01,Active
2026-03-01,CUST-0016,Enterprise,100,2499.0,0.13,2206.74,26480.9,Annual,2027-09-01,Active
2026-04-01,CUST-0016,Enterprise,100,2499.0,0.13,2212.18,26546.13,Annual,2027-09-01,Active
2026-05-01,CUST-0016,Enterprise,100,2499.0,0.13,2217.61,26611.35,Annual,2027-09-01,Active
2026-06-01,CUST-0016,Enterprise,100,2499.0,0.13,2223.05,26676.58,Annual,2027-09-01,Active
2025-07-01,CUST-0017,Starter,11,149.0,0.1,209.7,2516.4,Annual,2026-07-01,Active
2025-08-01,CUST-0017,Starter,11,149.0,0.1,210.22,2522.69,Annual,2026-07-01,Active
2025-09-01,CUST-0017,Starter,11,149.0,0.1,210.75,2528.98,Annual,2026-07-01,Active
2025-10-01,CUST-0017,Starter,12,149.0,0.1,223.97,2687.61,Annual,2026-07-01,Active
2025-11-01,CUST-0017,Starter,11,149.0,0.1,211.8,2541.56,Annual,2026-07-01,Active
2025-12-01,CUST-0017,Starter,12,149.0,0.1,225.08,2700.95,Annual,2026-07-01,Active
2026-01-01,CUST-0017,Starter,12,149.0,0.1,225.63,2707.61,Annual,2027-07-01,Active
2026-02-01,CUST-0017,Starter,12,149.0,0.1,226.19,2714.28,Annual,2027-07-01,Active
2026-03-01,CUST-0017,Starter,12,149.0,0.1,226.75,2720.95,Annual,2027-07-01,Active
2026-04-01,CUST-0017,Starter,12,149.0,0.1,227.3,2727.62,Annual,2027-07-01,Active
2026-05-01,CUST-0017,Starter,12,149.0,0.1,227.86,2734.29,Annual,2027-07-01,Active
2026-06-01,CUST-0017,Starter,13,149.0,0.1,241.36,2896.32,Annual,2027-07-01,Active
2025-11-01,CUST-0018,Professional,25,599.0,0.0,599.0,7188.0,Monthly,2026-11-01,Active
